team_a,team_b,scope,matches,wins_a,draws,wins_b,goals_a,goals_b,win_pct_a,win_pct_b,avg_goals_a,avg_goals_b,last_meeting
SCO,COL,all_competitive,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1988-05-17
SCO,ENG,all_competitive,100,33,24,43,129.0,169.0,0.33,0.43,1.29,1.69,2021-06-18
SCO,CRO,all_competitive,7,3,2,2,7.0,6.0,0.42857142857142855,0.2857142857142857,1.0,0.8571428571428571,2024-11-15
USA,PAR,all_competitive,4,2,0,1,5.0,3.0,0.5,0.25,1.25,0.75,2026-06-12
USA,PAR,wc_only,2,1,0,0,3.0,0.0,0.5,0.0,1.5,0.0,2026-06-12
USA,AUS,all_competitive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-19
USA,AUS,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-19
USA,TUR,all_competitive,2,0,0,1,1.0,2.0,0.0,0.5,0.5,1.0,2026-06-25
USA,TUR,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-25
USA,GER,all_competitive,5,1,0,4,5.0,8.0,0.2,0.8,1.0,1.6,2014-06-26
USA,GER,wc_only,3,0,0,3,0.0,4.0,0.0,1.0,0.0,1.3333333333333333,2014-06-26
USA,CUW,all_competitive,3,2,1,0,5.0,0.0,0.6666666666666666,0.0,1.6666666666666667,0.0,2019-06-30
USA,CIV,all_competitive,1,1,0,0,5.0,2.0,1.0,0.0,5.0,2.0,1992-10-19
USA,ECU,all_competitive,2,1,0,1,2.0,3.0,0.5,0.5,1.0,1.5,2016-06-16
USA,NED,all_competitive,1,0,0,1,1.0,3.0,0.0,1.0,1.0,3.0,2022-12-03
USA,NED,wc_only,1,0,0,1,1.0,3.0,0.0,1.0,1.0,3.0,2022-12-03
USA,JPN,all_competitive,2,0,0,2,1.0,5.0,0.0,1.0,0.5,2.5,2022-09-23
USA,SWE,all_competitive,1,0,0,1,1.0,3.0,0.0,1.0,1.0,3.0,1994-02-20
USA,BEL,all_competitive,3,1,0,2,4.0,9.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,3.0,2014-07-01
USA,BEL,wc_only,2,1,0,1,4.0,2.0,0.5,0.5,2.0,1.0,2014-07-01
USA,EGY,all_competitive,2,1,0,1,4.0,3.0,0.5,0.5,2.0,1.5,2009-06-21
USA,IRN,all_competitive,2,1,0,1,2.0,2.0,0.5,0.5,1.0,1.0,2022-11-29
USA,IRN,wc_only,2,1,0,1,2.0,2.0,0.5,0.5,1.0,1.0,2022-11-29
USA,NZL,all_competitive,1,1,0,0,2.0,1.0,1.0,0.0,2.0,1.0,1999-07-24
USA,ESP,all_competitive,2,1,0,1,3.0,3.0,0.5,0.5,1.5,1.5,2009-06-24
USA,ESP,wc_only,1,0,0,1,1.0,3.0,0.0,1.0,1.0,3.0,1950-06-25
USA,KSA,all_competitive,3,2,0,1,3.0,3.0,0.6666666666666666,0.3333333333333333,1.0,1.0,2025-06-19
USA,URU,all_competitive,3,0,0,3,0.0,5.0,0.0,1.0,0.0,1.6666666666666667,2024-07-01
USA,ARG,all_competitive,5,1,0,4,7.0,25.0,0.2,0.8,1.4,5.0,2016-06-21
USA,ARG,wc_only,1,0,0,1,1.0,6.0,0.0,1.0,1.0,6.0,1930-07-26
USA,ALG,all_competitive,1,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,2010-06-23
USA,ALG,wc_only,1,1,0,0,1.0,0.0,1.0,0.0,1.0,0.0,2010-06-23
USA,AUT,all_competitive,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1990-06-19
USA,AUT,wc_only,1,0,0,1,1.0,2.0,0.0,1.0,1.0,2.0,1990-06-19
USA,POR,all_competitive,3,2,1,0,6.0,4.0,0.6666666666666666,0.0,2.0,1.3333333333333333,2014-06-22
USA,POR,wc_only,2,1,1,0,5.0,4.0,0.5,0.0,2.5,2.0,2014-06-22
USA,COL,all_competitive,8,1,3,4,6.0,12.0,0.125,0.5,0.75,1.5,2016-06-25
USA,COL,wc_only,1,1,0,0,2.0,1.0,1.0,0.0,2.0,1.0,1994-06-22
USA,ENG,all_competitive,4,2,2,0,4.0,1.0,0.5,0.0,1.0,0.25,2022-11-25
USA,ENG,wc_only,3,1,2,0,2.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,2022-11-25
USA,GHA,all_competitive,3,1,0,2,4.0,5.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,2014-06-16
USA,GHA,wc_only,3,1,0,2,4.0,5.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,2014-06-16
USA,PAN,all_competitive,24,13,7,4,42.0,18.0,0.5416666666666666,0.16666666666666666,1.75,0.75,2025-03-20
PAR,AUS,all_competitive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-25
PAR,AUS,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-25
PAR,TUR,all_competitive,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-19
PAR,TUR,wc_only,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-19
PAR,GER,all_competitive,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,2002-06-15
PAR,GER,wc_only,1,0,0,1,0.0,1.0,0.0,1.0,0.0,1.0,2002-06-15
PAR,CIV,all_competitive,1,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,2008-05-22
PAR,ECU,all_competitive,37,19,8,10,63.0,48.0,0.5135135135135135,0.2702702702702703,1.7027027027027026,1.2972972972972974,2025-09-04
PAR,JPN,all_competitive,8,1,5,2,7.0,7.0,0.125,0.25,0.875,0.875,2025-10-10
