code,date,opponent,gf,ga,result,tournament,neutral
SCO,2025-09-05,DEN,0,0,D,FIFA World Cup qualification,False
SCO,2025-09-08,BEL,2,0,W,FIFA World Cup qualification,True
SCO,2025-10-09,GRE,3,1,W,FIFA World Cup qualification,False
SCO,2025-10-12,BEL,2,1,W,FIFA World Cup qualification,False
SCO,2025-11-15,GRE,2,3,L,FIFA World Cup qualification,False
SCO,2025-11-18,DEN,4,2,W,FIFA World Cup qualification,False
USA,2024-03-21,JAM,3,1,W,CONCACAF Nations League,False
USA,2024-03-24,MEX,2,0,W,CONCACAF Nations League,False
USA,2024-06-23,BOL,2,0,W,Copa América,False
USA,2024-06-27,PAN,1,2,L,Copa América,False
USA,2024-07-01,URU,0,1,L,Copa América,False
USA,2024-11-14,JAM,1,0,W,CONCACAF Nations League,False
USA,2024-11-18,JAM,4,2,W,CONCACAF Nations League,False
USA,2025-03-20,PAN,0,1,L,CONCACAF Nations League,False
USA,2025-03-23,CAN,1,2,L,CONCACAF Nations League,False
USA,2025-06-15,TRI,5,0,W,Gold Cup,False
USA,2025-06-19,KSA,1,0,W,Gold Cup,False
USA,2025-06-22,HAI,2,1,W,Gold Cup,False
USA,2025-06-29,COS,2,2,D,Gold Cup,False
USA,2025-07-02,GUA,2,1,W,Gold Cup,False
USA,2025-07-06,MEX,1,2,L,Gold Cup,False
PAR,2024-06-28,BRA,1,4,L,Copa América,True
PAR,2024-07-02,COS,1,2,L,Copa América,True
PAR,2024-09-06,URU,0,0,D,FIFA World Cup qualification,False
PAR,2024-09-10,BRA,1,0,W,FIFA World Cup qualification,False
PAR,2024-10-10,ECU,0,0,D,FIFA World Cup qualification,False
PAR,2024-10-15,VEN,2,1,W,FIFA World Cup qualification,False
PAR,2024-11-14,ARG,2,1,W,FIFA World Cup qualification,False
PAR,2024-11-19,BOL,2,2,D,FIFA World Cup qualification,False
PAR,2025-03-20,CHI,1,0,W,FIFA World Cup qualification,False
PAR,2025-03-25,COL,2,2,D,FIFA World Cup qualification,False
PAR,2025-06-05,URU,2,0,W,FIFA World Cup qualification,False
PAR,2025-06-10,BRA,0,1,L,FIFA World Cup qualification,False
PAR,2025-09-04,ECU,0,0,D,FIFA World Cup qualification,False
PAR,2025-09-09,PER,1,0,W,FIFA World Cup qualification,False
PAR,2025-10-10,JPN,2,2,D,Kirin Cup,False
AUS,2024-06-11,PAL,5,0,W,FIFA World Cup qualification,False
AUS,2024-09-05,BAH,0,1,L,FIFA World Cup qualification,False
AUS,2024-09-10,IND,0,0,D,FIFA World Cup qualification,False
AUS,2024-10-10,CHI,3,1,W,FIFA World Cup qualification,False
AUS,2024-10-15,JPN,1,1,D,FIFA World Cup qualification,False
AUS,2024-11-14,KSA,0,0,D,FIFA World Cup qualification,False
AUS,2024-11-19,BAH,2,2,D,FIFA World Cup qualification,False
AUS,2025-03-20,IND,5,1,W,FIFA World Cup qualification,False
AUS,2025-03-25,CHI,2,0,W,FIFA World Cup qualification,False
AUS,2025-06-05,JPN,1,0,W,FIFA World Cup qualification,False
AUS,2025-06-10,KSA,2,1,W,FIFA World Cup qualification,False
AUS,2025-09-05,NZL,1,0,W,Soccer Ashes,False
AUS,2025-09-09,NZL,3,1,W,Soccer Ashes,False
AUS,2026-03-27,CAM,1,0,W,FIFA Series,False
AUS,2026-03-31,CUW,5,1,W,FIFA Series,False
TUR,2024-09-09,ICE,3,1,W,UEFA Nations League,False
TUR,2024-10-11,MON,1,0,W,UEFA Nations League,False
TUR,2024-10-14,ICE,4,2,W,UEFA Nations League,False
TUR,2024-11-16,WAL,0,0,D,UEFA Nations League,False
TUR,2024-11-19,MON,1,3,L,UEFA Nations League,False
TUR,2025-03-20,HUN,3,1,W,UEFA Nations League,False
TUR,2025-03-23,HUN,3,0,W,UEFA Nations League,False
TUR,2025-09-04,GEO,3,2,W,FIFA World Cup qualification,False
TUR,2025-09-07,ESP,0,6,L,FIFA World Cup qualification,False
TUR,2025-10-11,BUL,6,1,W,FIFA World Cup qualification,False
TUR,2025-10-14,GEO,4,1,W,FIFA World Cup qualification,False
TUR,2025-11-15,BUL,2,0,W,FIFA World Cup qualification,False
TUR,2025-11-18,ESP,2,2,D,FIFA World Cup qualification,False
TUR,2026-03-26,ROM,1,0,W,FIFA World Cup qualification,False
TUR,2026-03-31,KOS,1,0,W,FIFA World Cup qualification,False
GER,2024-09-10,NED,2,2,D,UEFA Nations League,False
GER,2024-10-11,BIH,2,1,W,UEFA Nations League,False
GER,2024-10-14,NED,1,0,W,UEFA Nations League,False
GER,2024-11-16,BIH,7,0,W,UEFA Nations League,False
GER,2024-11-19,HUN,1,1,D,UEFA Nations League,False
GER,2025-03-20,ITA,2,1,W,UEFA Nations League,False
GER,2025-03-23,ITA,3,3,D,UEFA Nations League,False
GER,2025-06-04,POR,1,2,L,UEFA Nations League,False
GER,2025-06-08,FRA,0,2,L,UEFA Nations League,False
GER,2025-09-04,SLO,0,2,L,FIFA World Cup qualification,False
GER,2025-09-07,NOR,3,1,W,FIFA World Cup qualification,False
GER,2025-10-10,LUX,4,0,W,FIFA World Cup qualification,False
GER,2025-10-13,NOR,1,0,W,FIFA World Cup qualification,False
GER,2025-11-14,LUX,2,0,W,FIFA World Cup qualification,False
GER,2025-11-17,SLO,6,0,W,FIFA World Cup qualification,False
CUW,2024-11-15,SAI,5,0,W,CONCACAF Nations League,False
CUW,2024-11-18,SAI,4,1,W,CONCACAF Nations League,False
CUW,2025-06-06,SAI,4,0,W,FIFA World Cup qualification,False
CUW,2025-06-10,HAI,5,1,W,FIFA World Cup qualification,True
CUW,2025-06-17,EL ,0,0,D,Gold Cup,True
CUW,2025-06-21,CAN,1,1,D,Gold Cup,True
CUW,2025-06-24,HON,1,2,L,Gold Cup,True
CUW,2025-09-05,TRI,0,0,D,FIFA World Cup qualification,False
CUW,2025-09-09,BER,3,2,W,FIFA World Cup qualification,False
CUW,2025-10-10,JAM,2,0,W,FIFA World Cup qualification,False
CUW,2025-10-14,TRI,1,1,D,FIFA World Cup qualification,False
CUW,2025-11-13,BER,7,0,W,FIFA World Cup qualification,False
CUW,2025-11-18,JAM,0,0,D,FIFA World Cup qualification,False
CUW,2026-03-27,CHI,0,2,L,FIFA Series,True
CUW,2026-03-31,AUS,1,5,L,FIFA Series,False
CIV,2024-11-15,ZAM,0,1,L,African Cup of Nations qualification,False
CIV,2024-11-19,CHA,4,0,W,African Cup of Nations qualification,False
CIV,2025-03-21,BUR,1,0,W,FIFA World Cup qualification,True
CIV,2025-03-24,GAM,1,0,W,FIFA World Cup qualification,False
CIV,2025-06-07,NZL,0,1,L,Canadian Shield,True
CIV,2025-06-10,CAN,0,0,D,Canadian Shield,False
CIV,2025-09-05,BUR,1,0,W,FIFA World Cup qualification,False
CIV,2025-09-09,GAB,0,0,D,FIFA World Cup qualification,False
CIV,2025-10-10,SEY,7,0,W,FIFA World Cup qualification,True
CIV,2025-10-14,KEN,3,0,W,FIFA World Cup qualification,False
CIV,2025-12-24,MOZ,1,0,W,African Cup of Nations,True
CIV,2025-12-28,CAM,1,1,D,African Cup of Nations,True
CIV,2025-12-31,GAB,3,2,W,African Cup of Nations,True
CIV,2026-01-06,BUR,3,0,W,African Cup of Nations,True
CIV,2026-01-10,EGY,2,3,L,African Cup of Nations,True
ECU,2024-06-26,JAM,3,1,W,Copa América,True
ECU,2024-06-30,MEX,0,0,D,Copa América,True
ECU,2024-07-04,ARG,1,1,D,Copa América,True
ECU,2024-09-06,BRA,0,1,L,FIFA World Cup qualification,False
ECU,2024-09-10,PER,1,0,W,FIFA World Cup qualification,False
ECU,2024-10-10,PAR,0,0,D,FIFA World Cup qualification,False
ECU,2024-10-15,URU,0,0,D,FIFA World Cup qualification,False
ECU,2024-11-14,BOL,4,0,W,FIFA World Cup qualification,False
ECU,2024-11-19,COL,1,0,W,FIFA World Cup qualification,False
ECU,2025-03-21,VEN,2,1,W,FIFA World Cup qualification,False
ECU,2025-03-25,CHI,0,0,D,FIFA World Cup qualification,False
ECU,2025-06-05,BRA,0,0,D,FIFA World Cup qualification,False
ECU,2025-06-10,PER,0,0,D,FIFA World Cup qualification,False
ECU,2025-09-04,PAR,0,0,D,FIFA World Cup qualification,False
ECU,2025-09-09,ARG,1,0,W,FIFA World Cup qualification,False
NED,2024-09-10,GER,2,2,D,UEFA Nations League,False
