fixture_id,competition,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books
11703460,Copa America,2019,2019-06-19,Brazil,Venezuela,0,0,1,0.8289909995262909,0.1260066319279962,0.04500236854571293,29
11703461,Copa America,2019,2019-06-19,Colombia,Qatar,1,0,0,0.7081585769384786,0.1942167049550024,0.09762471810651885,28
11703462,Copa America,2019,2019-06-20,Argentina,Paraguay,1,1,1,0.6543619089837492,0.21912812194605918,0.12650996907019152,28
11703463,Copa America,2019,2019-06-20,Uruguay,Japan,2,2,1,0.763838236485939,0.16330334711078695,0.07285841640327417,28
11703464,Copa America,2019,2019-06-21,Ecuador,Chile,1,2,2,0.21928755908581452,0.25320403489108717,0.5275084060230983,28
11703465,Copa America,2019,2019-06-22,Peru,Brazil,0,5,2,0.08622959452343339,0.18970510795155346,0.724065297525013,28
11703466,Copa America,2019,2019-06-22,Bolivia,Venezuela,1,3,2,0.17254076801683327,0.2343503419253025,0.5931088900578643,28
11703467,Copa America,2019,2019-06-23,Qatar,Argentina,0,2,2,0.0629493899893306,0.13684649997680567,0.8002041100338637,28
11703468,Copa America,2019,2019-06-23,Colombia,Paraguay,1,0,0,0.39918422101863554,0.28864089827501344,0.312174880706351,28
11703469,Copa America,2019,2019-06-24,Chile,Uruguay,0,1,2,0.28705864351019467,0.2823533912245132,0.430587965265292,27
11703470,Copa America,2019,2019-06-24,Ecuador,Japan,1,1,1,0.5065709439199493,0.23389818892106304,0.2595308671589877,28
11881858,Copa America,2019,2019-06-28,Brazil,Paraguay,0,0,1,0.8009195743260781,0.14001260706737362,0.05906781860654825,27
11881842,Copa America,2019,2019-06-28,Venezuela,Argentina,0,2,2,0.12621958750154377,0.22539212053847102,0.648388291959985,28
11881859,Copa America,2019,2019-06-28,Colombia,Chile,0,0,1,0.45121263395375066,0.2961082910321489,0.25267907501410036,29
11881860,Copa America,2019,2019-06-29,Uruguay,Peru,0,0,1,0.5461658841940532,0.27230046948356806,0.18153364632237873,28
11887164,Copa America,2019,2019-07-03,Brazil,Argentina,2,0,0,0.5342045771267536,0.27561859341612216,0.1901768294571243,28
11887194,Copa America,2019,2019-07-04,Chile,Peru,0,3,2,0.5303983228511531,0.2767295597484277,0.1928721174004193,28
11892055,Copa America,2019,2019-07-06,Argentina,Chile,2,1,0,0.4942630185348632,0.26972639011473964,0.23601059135039718,23
11892054,Copa America,2019,2019-07-07,Brazil,Peru,3,1,0,0.7428532738977518,0.1666575171005391,0.09048920900170915,25
11985347,Copa America,2021,2021-06-13,Brazil,Venezuela,3,0,0,0.8830654468501857,0.08871727279983263,0.028217280349981777,38
11985346,Copa America,2021,2021-06-14,Colombia,Ecuador,1,0,0,0.4527177959791511,0.29709605361131797,0.2501861504095309,38
11985361,Copa America,2021,2021-06-14,Argentina,Chile,1,1,1,0.5724803570708652,0.268179276877744,0.1593403660513908,38
11985363,Copa America,2021,2021-06-15,Paraguay,Bolivia,3,1,0,0.621372780871605,0.24376932172655275,0.13485789740184237,38
11985349,Copa America,2021,2021-06-17,Colombia,Venezuela,0,0,1,0.7043189004255145,0.20059804801704093,0.09508305155744447,38
11985350,Copa America,2021,2021-06-18,Brazil,Peru,4,0,0,0.7910318879911183,0.1417997902917412,0.06716832171714057,37
11985365,Copa America,2021,2021-06-18,Chile,Bolivia,1,0,0,0.7177791866678743,0.1818373939558615,0.10038341937626423,38
11985364,Copa America,2021,2021-06-19,Argentina,Uruguay,1,0,0,0.4904264878689431,0.28831132923204533,0.22126218289901153,38
11985353,Copa America,2021,2021-06-20,Venezuela,Ecuador,2,2,1,0.14659782408261113,0.25410289507652595,0.599299280840863,37
11985352,Copa America,2021,2021-06-21,Colombia,Peru,1,2,2,0.5584725536992841,0.27923627684964203,0.162291169451074,37
11985368,Copa America,2021,2021-06-21,Uruguay,Chile,1,1,1,0.41412582014666155,0.3284446159783867,0.2574295638749517,37
11985367,Copa America,2021,2021-06-22,Argentina,Paraguay,1,0,0,0.6225777040681517,0.2506694440063874,0.1267528519254609,37
11985356,Copa America,2021,2021-06-23,Ecuador,Peru,2,2,1,0.3997655334114889,0.3094958968347011,0.2907385697538101,36
11985355,Copa America,2021,2021-06-24,Brazil,Colombia,2,1,0,0.6561509302257943,0.22492171367078054,0.11892735610342521,37
11985371,Copa America,2021,2021-06-24,Bolivia,Uruguay,0,2,2,0.06043677945449432,0.14633049020526762,0.7932327303402381,37
11985370,Copa America,2021,2021-06-25,Chile,Paraguay,0,2,2,0.38257430345854293,0.3254920742100151,0.291933622331442,36
11985359,Copa America,2021,2021-06-27,Brazil,Ecuador,1,1,1,0.6769925120525182,0.2169453277259206,0.10606216022156117,37
11985360,Copa America,2021,2021-06-27,Venezuela,Peru,0,1,2,0.2500479018969151,0.3276489748994061,0.42230312320367885,37
11985373,Copa America,2021,2021-06-29,Uruguay,Paraguay,1,0,0,0.49916269483447123,0.3091588303490918,0.19167847481643696,37
11985374,Copa America,2021,2021-06-29,Bolivia,Argentina,1,4,2,0.0431832202344232,0.10857495373226404,0.8482418260333128,36
18101458,Copa America,2021,2021-07-02,Peru,Paraguay,3,3,1,0.3286052009456265,0.3427895981087471,0.3286052009456265,37
18101454,Copa America,2021,2021-07-03,Brazil,Chile,1,0,0,0.7252802148053328,0.18957819476099788,0.08514159043366949,37
18101463,Copa America,2021,2021-07-03,Uruguay,Colombia,2,4,2,0.4130062452379247,0.315589650748582,0.27140410401349335,37
18101459,Copa America,2021,2021-07-04,Argentina,Ecuador,3,0,0,0.6040809020941471,0.25451942008233397,0.14139967782351887,36
18101465,Copa America,2021,2021-07-05,Brazil,Peru,1,0,0,0.7894446555097492,0.14695815894873793,0.06359718554151278,36
18101466,Copa America,2021,2021-07-07,Argentina,Colombia,1,1,1,0.5113870774820182,0.2942442568896536,0.19436866562832808,34
18101471,Copa America,2021,2021-07-10,Colombia,Peru,3,2,0,0.5279044175444112,0.26322905203584346,0.20886653041974537,26
18101472,Copa America,2021,2021-07-11,Argentina,Brazil,1,0,0,0.2427191570320503,0.30927118396019315,0.44800965900775647,25
11855368,AFCON,2019,2019-06-21,Egypt,Zimbabwe,1,0,0,0.752452915303936,0.1691665726852374,0.07838051201082666,27
11855369,AFCON,2019,2019-06-22,Congo DR,Uganda,0,2,2,0.4228934817170111,0.3322734499205087,0.24483306836248012,22
11855374,AFCON,2019,2019-06-22,Nigeria,Burundi,1,0,0,0.6355458442919796,0.2390397757677364,0.12541437994028395,27
11855375,AFCON,2019,2019-06-22,Guinea,Madagascar,2,2,1,0.522508038585209,0.28938906752411575,0.18810289389067525,27
11855386,AFCON,2019,2019-06-23,Morocco,Namibia,1,0,0,0.7199345514044178,0.1949822743386965,0.08508317425688575,27
11855380,AFCON,2019,2019-06-23,Senegal,Tanzania,2,0,0,0.7340101050082656,0.19371813080630515,0.07227176418542923,27
11855381,AFCON,2019,2019-06-23,Algeria,Kenya,2,0,0,0.5706437464002482,0.26901776616011697,0.16033848743963494,27
11855387,AFCON,2019,2019-06-24,Côte d'Ivoire,South Africa,1,0,0,0.4869771693335715,0.30416373359669674,0.20885909706973174,27
11855392,AFCON,2019,2019-06-24,Tunisia,Angola,1,1,1,0.5196419691695674,0.2834410740924913,0.19691695673794132,28
