fixture_id,season,date,home,away,home_goals,away_goals,outcome,p_home_mkt,p_draw_mkt,p_away_mkt,n_books,ou_line,p_over_mkt,p_under_mkt,settle_label,last_update
18493999,2022,2022-11-22,Denmark,Tunisia,0,0,1,0.6047899850161922,0.24819952631833345,0.14701048866547445,35,2.5,0.43152454780361754,0.5684754521963824,X,2022-11-22 14:55:30
18493997,2022,2022-11-22,Mexico,Poland,0,0,1,0.3827160493827161,0.30864197530864196,0.30864197530864196,35,2.5,0.40506329113924056,0.5949367088607596,X,2022-11-22 17:55:30
18493998,2022,2022-11-22,France,Australia,4,1,0,0.7823521638350078,0.14684148305826303,0.0708063531067292,35,2.5,0.588235294117647,0.411764705882353,1,2022-11-22 21:00:24
18494003,2022,2022-11-23,Morocco,Croatia,0,0,1,0.27377852657374785,0.29315362230050546,0.43306785112574664,35,2.5,0.43354966139954854,0.5664503386004515,X,2022-11-23 11:55:10
18494001,2022,2022-11-23,Germany,Japan,1,2,2,0.6641366223908918,0.19924098671726756,0.13662239089184058,35,2.5,0.6045340050377834,0.3954659949622167,2,2022-11-23 14:55:44
18494000,2022,2022-11-23,Spain,Costa Rica,7,0,0,0.8292477938086567,0.11920437035999437,0.05154783583134892,35,2.5,0.625,0.375,1,2022-11-23 17:55:45
18494002,2022,2022-11-23,Belgium,Canada,1,0,0,0.6093248978116982,0.2243029126988467,0.16637218948945498,35,2.5,0.5465254423735738,0.4534745576264261,1,2022-11-23 20:55:34
18494005,2022,2022-11-24,Switzerland,Cameroon,1,0,0,0.5300434789288513,0.2780807816989046,0.19187573937224417,35,2.5,0.4186046511627907,0.5813953488372093,1,2022-11-24 11:55:36
18494007,2022,2022-11-24,Uruguay,Korea Republic,0,0,1,0.5377659199971632,0.2707894124838468,0.19144466751899006,34,2.5,0.42527739251040214,0.5747226074895978,X,2022-11-24 14:55:13
18494006,2022,2022-11-24,Portugal,Ghana,3,2,0,0.7311185018055137,0.17347193431902333,0.09540956387546283,35,2.5,0.549738219895288,0.450261780104712,1,2022-11-24 17:55:36
18494004,2022,2022-11-24,Brazil,Serbia,2,0,0,0.6584328480287911,0.20611810894814334,0.1354490430230656,35,2.5,0.5471204188481674,0.4528795811518324,1,2022-11-24 20:50:37
18494062,2022,2022-11-25,Wales,Iran,0,2,2,0.4432873627920068,0.3025612158739094,0.2541514213340839,35,2.5,0.3894472361809045,0.6105527638190955,2,2022-11-25 12:01:23
18494098,2022,2022-11-25,Qatar,Senegal,1,3,2,0.17465869344465756,0.26683967054044905,0.5585016360148933,35,2.5,0.4066496163682865,0.5933503836317136,2,2022-11-25 14:55:32
18494099,2022,2022-11-25,Netherlands,Ecuador,1,1,1,0.5238085927601207,0.2763280112531652,0.1998633959867141,35,2.5,0.4193525334095619,0.5806474665904381,X,2022-11-25 17:55:42
18494061,2022,2022-11-25,England,United States,0,0,1,0.6470110626205217,0.22531208768902872,0.1276768496904496,34,2.5,0.4619101592793653,0.5380898407206347,X,2022-11-25 20:50:35
18494070,2022,2022-11-26,Tunisia,Australia,0,1,2,0.4375453755251318,0.2899263620049289,0.2725282624699392,35,2.5,0.41025641025641024,0.5897435897435896,2,2022-11-26 11:55:40
18494066,2022,2022-11-26,Poland,Saudi Arabia,2,0,0,0.5561803417631023,0.2671824029519786,0.17663725528491916,35,2.5,0.4159190168263534,0.5840809831736465,1,2022-11-26 15:00:28
18494069,2022,2022-11-26,France,Denmark,2,1,0,0.5243195002231146,0.2726461401160196,0.2030343596608657,35,2.5,0.4464751958224543,0.5535248041775457,1,2022-11-26 17:55:18
