r,cap,n,mean_rank,rank_0_1,rank_2_3,rank_4,rank_5plus,blowout_rank,blowout_n,top3_cov,top10_cov,blowout_top10_cov,brier_wdl,rps,nll_wdl,outcome_acc,ece,verdict,passes
8.0,4.5,10555,7.9716721932733305,2.6846751412429377,5.196678321678322,11.027123483226267,21.36827033218786,16.77065432914739,3026,0.33415442918048316,0.7502605400284226,0.23331130204890946,0.5603679051267502,0.19499829653454215,0.9483388781147003,0.583704405495026,0.10726816990298059,FAIL — no material rank improvement,False
12.0,4.5,10555,7.991378493604927,2.838276836158192,5.12652972027972,10.96859386152748,21.469072164948454,16.903172504957038,3026,0.3371861676930365,0.7501657981999053,0.20555188367481825,0.558879984600394,0.19429417710497085,0.9460290508611727,0.583704405495026,0.10447067736894221,FAIL — no material rank improvement,False
20.0,4.5,10555,8.0202747513027,3.003531073446328,5.059003496503497,10.935046395431835,21.579610538373426,17.028089887640448,3026,0.33548081477972524,0.7498815727143534,0.18968935888962327,0.5577026512613108,0.19372957680195502,0.9441669829937974,0.583704405495026,0.10225499626365726,FAIL — no material rank improvement,False
inf,4.5,10555,8.079298910468973,3.3269774011299433,4.935096153846154,10.885795860099929,21.776059564719358,17.207865168539325,3026,0.3307437233538607,0.7491236380862151,0.18704560475875742,0.5559652740201643,0.1928816126909449,0.9413555305448845,0.583041212695405,0.09830769336619588,FAIL — no material rank improvement,False
2.0,6.0,10555,8.035149218379916,1.9555084745762712,5.896853146853147,11.309778729478944,20.872852233676976,16.006278916060808,3026,0.29805779251539555,0.744860255802937,0.29709187045604757,0.5741526548024573,0.20116206247720542,0.9682292619189629,0.583704405495026,0.13318757276343474,FAIL — no material rank improvement,False
4.0,6.0,10555,7.976409284699194,2.1119350282485874,5.626311188811189,11.147037830121342,21.103665521191296,16.420687376074024,3026,0.3240170535291331,0.7483657034580767,0.27825512227362853,0.5649042602686603,0.1970930033556842,0.9551358064249184,0.583041212695405,0.11514833764866277,FAIL — no material rank improvement,False
6.0,6.0,10555,7.9639033633349126,2.582274011299435,5.26638986013986,11.076374018558173,21.265177548682704,16.64375413086583,3026,0.32979630506868785,0.7492183799147324,0.25446133509583607,0.5618699011091716,0.19569989033624574,0.9506269014746612,0.583704405495026,0.11009358532513977,FAIL — no material rank improvement,False
8.0,6.0,10555,7.9716721932733305,2.6846751412429377,5.196678321678322,11.027123483226267,21.36827033218786,16.77065432914739,3026,0.33415442918048316,0.7502605400284226,0.23331130204890946,0.5603679051267502,0.19499829653454215,0.9483388781147003,0.583704405495026,0.10726816990298059,FAIL — no material rank improvement,False
12.0,6.0,10555,7.991378493604927,2.838276836158192,5.12652972027972,10.96859386152748,21.469072164948454,16.903172504957038,3026,0.3371861676930365,0.7501657981999053,0.20555188367481825,0.558879984600394,0.19429417710497085,0.9460290508611727,0.583704405495026,0.10447067736894221,FAIL — no material rank improvement,False
20.0,6.0,10555,8.0202747513027,3.003531073446328,5.059003496503497,10.935046395431835,21.579610538373426,17.028089887640448,3026,0.33548081477972524,0.7498815727143534,0.18968935888962327,0.5577026512613108,0.19372957680195502,0.9441669829937974,0.583704405495026,0.10225499626365726,FAIL — no material rank improvement,False
inf,6.0,10555,8.079298910468973,3.3269774011299433,4.935096153846154,10.885795860099929,21.776059564719358,17.207865168539325,3026,0.3307437233538607,0.7491236380862151,0.18704560475875742,0.5559652740201643,0.1928816126909449,0.9413555305448845,0.583041212695405,0.09830769336619588,FAIL — no material rank improvement,False
2.0,8.0,10555,8.035149218379916,1.9555084745762712,5.896853146853147,11.309778729478944,20.872852233676976,16.006278916060808,3026,0.29805779251539555,0.744860255802937,0.29709187045604757,0.5741526548024573,0.20116206247720542,0.9682292619189629,0.583704405495026,0.13318757276343474,FAIL — no material rank improvement,False
4.0,8.0,10555,7.976409284699194,2.1119350282485874,5.626311188811189,11.147037830121342,21.103665521191296,16.420687376074024,3026,0.3240170535291331,0.7483657034580767,0.27825512227362853,0.5649042602686603,0.1970930033556842,0.9551358064249184,0.583041212695405,0.11514833764866277,FAIL — no material rank improvement,False
6.0,8.0,10555,7.9639033633349126,2.582274011299435,5.26638986013986,11.076374018558173,21.265177548682704,16.64375413086583,3026,0.32979630506868785,0.7492183799147324,0.25446133509583607,0.5618699011091716,0.19569989033624574,0.9506269014746612,0.583704405495026,0.11009358532513977,FAIL — no material rank improvement,False
8.0,8.0,10555,7.9716721932733305,2.6846751412429377,5.196678321678322,11.027123483226267,21.36827033218786,16.77065432914739,3026,0.33415442918048316,0.7502605400284226,0.23331130204890946,0.5603679051267502,0.19499829653454215,0.9483388781147003,0.583704405495026,0.10726816990298059,FAIL — no material rank improvement,False
12.0,8.0,10555,7.991378493604927,2.838276836158192,5.12652972027972,10.96859386152748,21.469072164948454,16.903172504957038,3026,0.3371861676930365,0.7501657981999053,0.20555188367481825,0.558879984600394,0.19429417710497085,0.9460290508611727,0.583704405495026,0.10447067736894221,FAIL — no material rank improvement,False
20.0,8.0,10555,8.0202747513027,3.003531073446328,5.059003496503497,10.935046395431835,21.579610538373426,17.028089887640448,3026,0.33548081477972524,0.7498815727143534,0.18968935888962327,0.5577026512613108,0.19372957680195502,0.9441669829937974,0.583704405495026,0.10225499626365726,FAIL — no material rank improvement,False
inf,8.0,10555,8.079298910468973,3.3269774011299433,4.935096153846154,10.885795860099929,21.776059564719358,17.207865168539325,3026,0.3307437233538607,0.7491236380862151,0.18704560475875742,0.5559652740201643,0.1928816126909449,0.9413555305448845,0.583041212695405,0.09830769336619588,FAIL — no material rank improvement,False
